Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_IM_M3_02_00.ifc,Peso Eccessivo,392.243 MB,0
9nnn_J.002_028_PE_IM_M3_02_00.rvt,Verifica Corretta,187.992 MB,1
