Raggruppamento,UR01,AR01,AR02,AR03,AR04,AR05,FA01,IE01,IM01,IM02,ST01,ST02,ST03,ST04,%,Stato
pGI e Allegati,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Elaborati Progettuali,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Clash Detection,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
ACDat,100%,66.67%,66.67%,66.67%,100%,100%,100%,66.67%,33.33%,100%,100%,100%,100%,100%,86%,0
Collegamenti Modello Nativo,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Georeferenziazione e Orientamento,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Griglie e Livelli,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Integrità e Pulizia File,94.67%,91.52%,83.33%,91.53%,90.35%,77.29%,84.05%,82.13%,80.16%,80.16%,97.98%,93.93%,92.62%,93.83%,88%,0
Verifica Informativa,100%,98.1%,97.89%,98.22%,97.15%,96.84%,98.29%,77.93%,96.76%,97.62%,98.31%,96.53%,97.87%,80.01%,95%,1
Verifica LOIN Geometrico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Naming Convention,-,100%,98.77%,98.78%,97.79%,100%,100%,50%,32.43%,49.94%,100%,100%,100%,100%,87%,0
Regole Modellazione,-,96.15%,92.66%,95.25%,98.23%,99.78%,99.3%,89.35%,85.87%,90.67%,96.98%,100%,93.39%,99.58%,95%,1
Specifiche Impianti,-,-,-,-,-,-,-,50%,100%,42.5%,-,-,-,-,64%,0
Unità di misura,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
