Categoria,Id Elemento,Livello Base,Livello Superiore,Offset Base,Offset Superiore,Verifica,Stato
Muri,684459,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC1_+12.50m,0.0,-1.25,Elemento non vincolato correttamente tra livelli.,0
Muri,684956,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC1_+12.50m,0.0,-1.25,Elemento non vincolato correttamente tra livelli.,0
Muri,685012,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC1_+12.50m,0.0,-1.25,Elemento non vincolato correttamente tra livelli.,0
Muri,685106,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC1_+12.50m,0.0,-1.25,Elemento non vincolato correttamente tra livelli.,0
Muri,685428,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC1_+12.50m,0.0,-0.11,Elemento non vincolato correttamente tra livelli.,0
Muri,685429,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC1_+12.50m,0.0,-3.3199999999999998,Elemento non vincolato correttamente tra livelli.,0
Muri,685430,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC1_+12.50m,0.0,-0.11,Elemento non vincolato correttamente tra livelli.,0
Muri,685431,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC1_+12.50m,0.0,-0.11,Elemento non vincolato correttamente tra livelli.,0
Muri,685478,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC1_+12.50m,0.0,-0.11,Elemento non vincolato correttamente tra livelli.,0
Muri,685956,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC1_+12.50m,0.0,-0.11,Elemento non vincolato correttamente tra livelli.,0
Muri,685957,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC1_+12.50m,0.0,-3.3199999999999998,Elemento non vincolato correttamente tra livelli.,0
