Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_IM_M3_01_00.ifc,Peso Eccessivo,278.439 MB,0
9nnn_J.002_028_PE_IM_M3_01_00.rvt,Verifica Corretta,155.207 MB,1
