Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Fase,Verifica,Stato
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508290,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508291,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508292,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508293,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508294,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508296,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508298,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508299,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508300,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508301,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508305,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508308,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508362,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508363,J002_SDP,Fase corretta,1
Raccordi condotto,IM_COL_RET_Lzi_T,Default,1508364,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508365,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508366,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508370,J002_SDP,Fase corretta,1
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1508373,J002_SDP,Fase corretta,1
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1508374,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508381,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508383,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508385,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508386,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508387,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508388,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508392,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508395,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508397,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508399,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508400,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508401,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508402,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508403,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508404,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508406,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508408,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508409,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508410,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508411,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508415,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508418,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508472,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508473,J002_SDP,Fase corretta,1
Raccordi condotto,IM_COL_RET_Lzi_T,Default,1508474,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508475,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508476,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508480,J002_SDP,Fase corretta,1
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1508483,J002_SDP,Fase corretta,1
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1508484,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508491,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508493,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508495,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508496,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508497,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508498,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508502,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508505,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508507,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508509,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508510,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508511,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508512,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508513,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508514,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508516,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508518,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508519,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508520,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508521,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508525,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508528,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1509953,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1509962,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1511015,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1511016,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1511018,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1511324,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1511325,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1511327,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1511357,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1511358,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1511360,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1511369,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1511370,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1511372,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1513118,J002_SDP,Fase corretta,1
