Quantità,Modello,Nome della Famiglia,ID,Livello,Nome del Tipo,Stato
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,1968107,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,1968115,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_UTA:UTA12,,1982868,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Chiller Datacenter:Chiller Datacenter,,2014224,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Chiller Datacenter:Chiller Datacenter,,2022982,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Chiller Datacenter:Chiller Datacenter,,2022990,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Pompa di calore polivalente:Chiller condizionamento,,2023869,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Pompa di calore polivalente:Chiller condizionamento,,2023889,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Pompa di calore polivalente:Chiller condizionamento,,2023910,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Pompa di calore polivalente:Chiller condizionamento,,2023918,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_701_MedSpeed,,2053064,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_701_MedSpeed,,2053898,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_701_MedSpeed,,2053923,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_501_MedSpeed,,2059684,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_38_Med Speed,,2075373,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_64_Med Speed,,2080130,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_38_Med Speed,,2088277,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_38_Med Speed,,2088292,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_34_Med Speed,,2088313,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_34_Med Speed,,2088330,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_38_Med Speed,,2088345,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_44_Med Speed,,2088377,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_34_Med Speed,,2088394,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_38_Med Speed,,2089885,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_38_Med Speed,,2089900,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_38_Med Speed,,2089915,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_34_Med Speed,,2089930,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_38_Med Speed,,2089945,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_34_Med Speed,,2090964,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_34_Med Speed,,2090979,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2111156,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2111177,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2111198,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2111238,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2111439,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2111667,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_501_MedSpeed,,2113470,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:700x250,,2124630,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2127675,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2128192,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2129571,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2167608,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2169478,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2169650,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2169661,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2170235,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:700x250,,2175563,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2175742,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_701_MedSpeed,,2226660,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_501_MedSpeed,,2228710,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 4 tubi:GCS1.UWW.SE5,,2237342,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 4 tubi:GCS1.UWW.SE5,,2237832,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 4 tubi:GCS1.UWW.SE5,,2237927,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:600x300,,2253632,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:600x300,,2259429,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:600x300,,2261270,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2266847,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:600x300,,2270510,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:600x300,,2270822,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2294922,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2299883,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2299891,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2299899,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_44_Med Speed,,2300739,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2305805,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:800x400,,2314840,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2321954,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2321955,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2321956,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2322610,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2322611,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2322612,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2323989,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2323990,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2323991,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_44_Med Speed,,2324666,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_44_Med Speed,,2325284,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_44_Med Speed,,2325587,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2325993,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2326189,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2326786,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2327299,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 84-104-124:FCL_104_Max Speed,,2327470,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_UTA:UTA17,,2333748,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,2345477,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_501_MedSpeed,,2351819,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_501_MedSpeed,,2353293,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_501_MedSpeed,,2354572,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_34_Med Speed,,2358496,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_64_Med Speed,,2358528,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_38_Med Speed,,2359011,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore 34-38-44-64:FCL_38_Med Speed,,2359067,Corretta,1
