Cliente,Aereoporto Guglielmo Marconi di Bologna S.p.A.
Prodotto da:,2Dto6D
Codice Progetto:,R.014
Attività,"Rilievo digitalizzazione e modellazione BIM di una porzione del terminal, area ovest"
Data prima emissione:,19/03/2025
