Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_IM_M3_01_00.rvt,Peso Eccessivo,384.359 MB,0
9nnn_J.002_028_PE_IM_M3_01_00_EVAC_FUMI.ifc,Verifica Corretta,14.107 MB,1
9nnn_J.002_028_PE_IM_M3_01_00_FTV.ifc,Peso Eccessivo,537.145 MB,0
9nnn_J.002_028_PE_IM_M3_01_00_HVAC.ifc,Peso Eccessivo,328.929 MB,0
