Nome Locale,ID Elemento,Verifica,Stato
SERVIZI AL PASSEGGERO,974903,Locale Posizionato,1
SERVIZI AL PASSEGGERO,974907,Locale Posizionato,1
SERVIZI AL PASSEGGERO,974909,Locale Posizionato,1
WC PASSEGGERI,974911,Locale Posizionato,1
WC PASSEGGERI,974913,Locale Posizionato,1
GATEROOM,974922,Locale Posizionato,1
IMPIANTI,974986,Locale Posizionato,1
WC STAFF,974994,Locale Posizionato,1
WC STAFF,974996,Locale Posizionato,1
UFFICI,975203,Locale Posizionato,1
IMPIANTI,975232,Locale Posizionato,1
IMPIANTI,975254,Locale Posizionato,1
WC PASSEGGERI,975260,Locale Posizionato,1
WC PASSEGGERI,975262,Locale Posizionato,1
WC PASSEGGERI,975264,Locale Posizionato,1
WC PASSEGGERI,975266,Locale Posizionato,1
WC PASSEGGERI,975268,Locale Posizionato,1
WC PASSEGGERI,975270,Locale Posizionato,1
WC PASSEGGERI,975272,Locale Posizionato,1
WC PASSEGGERI,975274,Locale Posizionato,1
AREE A DISPOSIZIONE,975479,Locale Posizionato,1
AREA SEDUTE GATE,976433,Locale Posizionato,1
AREA SEDUTE GATE,976435,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,976451,Locale Posizionato,1
WC PASSEGGERI,977617,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,978745,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,978749,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,978912,Locale Posizionato,1
AREA PREIMBARCO,1145634,Locale Posizionato,1
AREA DESK,1145691,Locale Posizionato,1
GATEROOM,1145743,Locale Posizionato,1
RETAIL,1149657,Locale Posizionato,1
AREA PREIMBARCO,1149999,Locale Posizionato,1
AREA DESK,1150003,Locale Posizionato,1
GATEROOM,1150099,Locale Posizionato,1
AREA SEDUTE GATE,1150209,Locale Posizionato,1
AREA PREIMBARCO,1150258,Locale Posizionato,1
AREA DESK,1150262,Locale Posizionato,1
GATEROOM,1150264,Locale Posizionato,1
AREA PREIMBARCO,1150266,Locale Posizionato,1
AREA DESK,1150268,Locale Posizionato,1
GATEROOM,1150270,Locale Posizionato,1
AREA SEDUTE GATE,1150368,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1150370,Locale Posizionato,1
AREA STAFF,1150410,Locale Posizionato,1
WC PASSEGGERI,1151539,Locale Posizionato,1
WC PASSEGGERI,1151541,Locale Posizionato,1
WC PASSEGGERI,1151543,Locale Posizionato,1
WC PASSEGGERI,1151545,Locale Posizionato,1
WC PASSEGGERI,1151547,Locale Posizionato,1
IMPIANTI,1151614,Locale Posizionato,1
WC PASSEGGERI,1151715,Locale Posizionato,1
WC PASSEGGERI,1151717,Locale Posizionato,1
WC PASSEGGERI,1151719,Locale Posizionato,1
WC PASSEGGERI,1151721,Locale Posizionato,1
WC PASSEGGERI,1151723,Locale Posizionato,1
IMPIANTI,1151725,Locale Posizionato,1
IMPIANTI,1151727,Locale Posizionato,1
AREA PREIMBARCO,1154329,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1154331,Locale Posizionato,1
AREA PREIMBARCO,1154333,Locale Posizionato,1
AREA SEDUTE GATE,1154467,Locale Posizionato,1
AREA PREIMBARCO,1154469,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1154471,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1154475,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1154477,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1154562,Locale Posizionato,1
AREA SEDUTE GATE,1154564,Locale Posizionato,1
GATEROOM,1154566,Locale Posizionato,1
AREA DESK,1154568,Locale Posizionato,1
AREA PREIMBARCO,1154570,Locale Posizionato,1
AREA SEDUTE GATE,1154574,Locale Posizionato,1
GATEROOM,1154576,Locale Posizionato,1
AREA DESK,1154578,Locale Posizionato,1
AREA PREIMBARCO,1154580,Locale Posizionato,1
GATEROOM,1155196,Locale Posizionato,1
AREA DESK,1155198,Locale Posizionato,1
AREA PREIMBARCO,1155200,Locale Posizionato,1
AREA SEDUTE GATE,1155202,Locale Posizionato,1
GATEROOM,1155204,Locale Posizionato,1
AREA DESK,1155206,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1155208,Locale Posizionato,1
RETAIL,1155288,Locale Posizionato,1
F&B,1155659,Locale Posizionato,1
F&B,1155661,Locale Posizionato,1
IMPIANTI,1190646,Locale Posizionato,1
