Nome Elemento,ID Elemento,Verifica,Stato
Controsoffitto composto: AR_CON_CSO_50_WC,966322,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_50_WC,966362,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,966425,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,966857,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_50_Locali tecnici,967381,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_50_Locali tecnici,967435,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_50_Locali tecnici,967486,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,967717,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_50_WC,968153,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_50_WC,968190,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,968245,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,972533,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,972655,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,973550,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,973608,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,973662,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,976460,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,977504,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,977522,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h3600_Sopraluce 1200,979250,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1000139,Room Bounding Attivato,1
Pavimento: AR_PAV_MAI_810,1000466,Room Bounding Disattivato,0
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1001682,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1002776,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,1006101,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_150_Generico,1006348,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,1006349,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,1006350,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,1006351,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_200_Generico,1007432,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1008403,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1008676,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1008760,Room Bounding Attivato,1
Pavimento: AR_PAV_GET_120_MS.03a_FL-001,1009029,Room Bounding Disattivato,0
Pavimento: AR_PAV_GET_120_MS.03_Lin,1010320,Room Bounding Disattivato,0
Pavimento: AR_PAV_GET_120_MS.03_Lin,1010583,Room Bounding Disattivato,0
Pavimento: AR_PAV_GET_120_MS.03a_FL-001,1010858,Room Bounding Disattivato,0
Pavimento: AR_PAV_GET_120_MS.03_Lin,1013452,Room Bounding Disattivato,0
Pavimento: AR_PAV_GET_120_MS.03_Lin,1013822,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,1014007,Room Bounding Disattivato,0
Facciata continua: AR_SFC_MON_All_h2400,1014907,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_All_h2400,1018589,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h3730_Sopraluce 1330,1018771,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1019629,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1020056,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h3600_Sopraluce opaco 1200,1027899,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h3100_Sopraluce 700,1030083,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h6300_Sopraluce 3900,1032522,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1038735,Room Bounding Attivato,1
Pavimento: AR_PAV_MAI_480_MS.01a_FL-001,1041231,Room Bounding Disattivato,0
Controsoffitto composto: AR_CON_CSO_50_WC,1042285,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_50_WC,1042322,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1043501,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1043580,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h3730_Sopraluce 1330,1044057,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h6300_Sopraluce 3900,1044136,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h6300_Sopraluce 3900,1071045,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h6300_Sopraluce 3900,1071124,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h6300_Sopraluce 3900,1071662,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h6300_Sopraluce 3900,1071831,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h6300_Sopraluce 3900,1071994,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h6300_Sopraluce 3900,1072178,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h6300_Sopraluce 3900,1072295,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h6300_Sopraluce 3900,1072755,Room Bounding Attivato,1
Facciata continua: AR_SFC_MON_h3100_Sopraluce 700,1083761,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1087648,Room Bounding Attivato,1
Pavimento: AR_PAV_GET_120_MS.03_Lin,1087901,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1088015,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1088016,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1088213,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1088418,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1088581,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1090214,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1092993,Room Bounding Attivato,1
