Nome Workset,Workset Id,Unique ID,Kind,n° elementi,Stato
SGS_COMMON,0,e3e052f8-0156-11d5-9301-0000863f27ad,UserWorkset,184,0
Griglie e livelli condivisi,174,2fe74884-86b4-497a-85b1-496789e3d03e,UserWorkset,2917,0
SGS_LINK_CAD,353,864ee77b-c4bc-4b04-a045-bd0a58900425,UserWorkset,0,0
SGS_LINK_RVT,354,2e6fdd6b-50af-4063-9ab7-eeadd2d601a6,UserWorkset,13,0
SGS_AR,1556,db4344b3-5e56-47fd-bdb3-d7d4ebb6c410,UserWorkset,2888,0
SGS_AR_Bagni,1623,b96c34b4-ca22-472d-9cf5-8b3d1291040d,UserWorkset,360,0
SGS_AR_R,1648,e9247325-1d42-4979-a5bd-b1eb967ceb2e,UserWorkset,1003,0
SGS_FT,1667,0c340c97-83d4-48ce-9cc9-036662ce0902,UserWorkset,651,0
