Nome File,Verifica Nomenclatura,Stato
9002_J.002_028_PE_UR_M3_01_00.ifc,Nomenclatura corretta.,1
9002_J.002_028_PE_UR_M3_01_00.rvt,Nomenclatura corretta.,1
