Nome File,Verifica,Dimensione,Stato
9002_J.002_028_PE_UR_M3_01_00.ifc,Verifica Corretta,278.932 KB,1
9002_J.002_028_PE_UR_M3_01_00.rvt,Verifica Corretta,2.629 MB,1
