Quantità,Nome della famiglia e del Tipo,IFC Element,ID,Valori Parametri,Verifica,Stato
1,Facciata continua:AR_SFC_MON_All_BarrieraVetrata_1600:4678666,,4678666,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_All_BarrieraVetrata_1600:4678673,,4678673,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_All_BarrieraVetrata_1600:4678679,,4678679,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_All_BarrieraVetrata_1600:4678688,,4678688,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_All_BarrieraVetrata_1600:4678694,,4678694,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_All_BarrieraVetrata_1600:4678703,,4678703,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_All_BarrieraVetrata_1600:4678709,,4678709,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_All_BarrieraVetrata_1600:4678712,,4678712,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_All_BarrieraVetrata_1600:4678718,,4678718,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_All_BarrieraVetrata_1600:4678721,,4678721,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_All_BarrieraVetrata_1600:4678727,,4678727,ND,Corretta,1
1,AR_ARR_ARR_PortaleGateInclinato:AR_ARR_ARR_PortaleGateC5:4095050,,4095050,PA.OC.017,Corretta,1
1,AR_ARR_ARR_PortaleGate:AR_ARR_ARR_PortaleGateP0:4095234,,4095234,PA.OC.017,Corretta,1
1,AR_ARR_ARR_PortaleGate:AR_ARR_ARR_PortaleGateP0:4095236,,4095236,PA.OC.017,Corretta,1
1,AR_ARR_ARR_PortaleGate:AR_ARR_ARR_PortaleGateP0:4095238,,4095238,PA.OC.017,Corretta,1
1,AR_ARR_ARR_PortaleGate:AR_ARR_ARR_PortaleGateP0:4095240,,4095240,PA.OC.017,Corretta,1
1,AR_ARR_ARR_PortaleGate:AR_ARR_ARR_PortaleGateBX:4095242,,4095242,PA.OC.017,Corretta,1
1,AR_ARR_ARR_PortaleGate:AR_ARR_ARR_PortaleGateBX:4095244,,4095244,PA.OC.017,Corretta,1
1,AR_ARR_ARR_PortaleGate:AR_ARR_ARR_PortaleGateBX:4095245,,4095245,PA.OC.017,Corretta,1
1,AR_ARR_ARR_PortaleGate:AR_ARR_ARR_PortaleGateBX:4095247,,4095247,PA.OC.017,Corretta,1
1,AR_ARR_ARR_PortaleGate:AR_ARR_ARR_PortaleGateBX:4095248,,4095248,PA.OC.017,Corretta,1
1,AR_ARR_ARR_PortaleGate:AR_ARR_ARR_PortaleGateBX:4095249,,4095249,PA.OC.017,Corretta,1
1,AR_ARR_ARR_PortaleGate:AR_ARR_ARR_PortaleGateBX:4095270,,4095270,PA.OC.017,Corretta,1
1,AR_ARR_ARR_PortaleGateInclinato:AR_ARR_ARR_PortaleGateC4:4105432,,4105432,PA.OC.017,Corretta,1
1,AR_POR_BAT_Vet_2A_PorteFaraone:AR_POR_BAT_Vet_2A_Porte02:4671388,,4671388,ND,Corretta,1
1,AR_POR_BAT_Vet_2A_PorteFaraone:AR_POR_BAT_Vet_2A_Porte01:4671398,,4671398,A17.025.050.a,Corretta,1
1,AR_POR_BAT_Vet_2A_PorteFaraone:AR_POR_BAT_Vet_2A_Porte02:4671408,,4671408,ND,Corretta,1
1,AR_POR_BAT_Vet_2A_PorteFaraone:AR_POR_BAT_Vet_2A_Porte02:4671430,,4671430,ND,Corretta,1
1,AR_POR_BAT_Vet_2A_PorteFaraone:AR_POR_BAT_Vet_2A_Porte01:4671475,,4671475,A17.025.050.a,Corretta,1
1,AR_POR_BAT_Vet_2A_PorteFaraone:AR_POR_BAT_Vet_2A_Porte01:4671581,,4671581,A17.025.050.a,Corretta,1
1,AR_POR_BAT_Vet_2A_PorteFaraone:AR_POR_BAT_Vet_2A_Porte01:4671598,,4671598,A17.025.050.a,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671777,,4671777,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671778,,4671778,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671779,,4671779,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671780,,4671780,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671781,,4671781,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671782,,4671782,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671783,,4671783,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671784,,4671784,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671785,,4671785,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671786,,4671786,A17.025.045.c,Corretta,1
