Qty.,Model,Type Name,Tag,Stato
1,9nnn_J.002_028_PE_ST_M3_01_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_LamieraPressopiegata,814319,1
1,9nnn_J.002_028_PE_ST_M3_01_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_LamieraPressopiegata,814383,1
1,9nnn_J.002_028_PE_ST_M3_01_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_LamieraPressopiegata,814698,1
1,9nnn_J.002_028_PE_ST_M3_01_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_LamieraPressopiegata,814706,1
1,9nnn_J.002_028_PE_ST_M3_01_00,Rampa non monolitica:ST_RMS_RET_Acc_LamieraPressopiegata,814141,1
1,9nnn_J.002_028_PE_ST_M3_01_00,Rampa non monolitica:ST_RMS_RET_Acc_LamieraPressopiegata,814317,1
1,9nnn_J.002_028_PE_ST_M3_01_00,Rampa non monolitica:ST_RMS_RET_Acc_LamieraPressopiegata,814381,1
1,9nnn_J.002_028_PE_ST_M3_01_00,Rampa non monolitica:ST_RMS_RET_Acc_LamieraPressopiegata,814692,1
1,9nnn_J.002_028_PE_ST_M3_01_00,Rampa non monolitica:ST_RMS_RET_Acc_LamieraPressopiegata,814696,1
1,9nnn_J.002_028_PE_ST_M3_01_00,Rampa non monolitica:ST_RMS_RET_Acc_LamieraPressopiegata,814704,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,723306,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,760689,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,761027,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,765114,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,765381,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,768415,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,768428,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,776523,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,776611,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,783813,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,784004,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,788319,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,790197,1
1,9nnn_J.002_028_PE_ST_M3_01_00,,882656,1
