Nome Livello,ID Livello,Numero Elementi Hostati,Stato
AR_LIV_PE_P00_+0.00m,311,2244,1
AR_LIV_PE_P01_+5.20m,638329,6544,1
AR_LIV_PE_P02_+10.40m - DVA,638415,28,1
ST_LIV_PE_P01_+5.08m,661130,215,1
ST_LIV_PE_P00_-0.48m,661520,123,1
ST_LIV_PE_P02_+10.28m,661624,1,1
AR_LIV_PE_PC2_+15.73m - DVA,661743,10,1
ST_LIV_PE_PC2_+15.48m,661744,1,1
AR_LIV_PE_PC1_+12.83m - DVA,670266,10,1
ST_LIV_PE_PC1_+12.50m,675252,1,1
