Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_AR_M3_04_00.ifc,Verifica Corretta,30.974 MB,1
9nnn_J.002_028_PE_AR_M3_04_00.rvt,Verifica Corretta,72.359 MB,1
