Nome Materiale,ID Elemento,Verifica,Stato
SGS_FT_Sonde geotermiche,941723,Codice non trovato nel database,0
SGS_FT_Refrigerata BT,941724,Numero campi errato,0
SGS_FT_Refrigerata BT,941724,Codice non trovato nel database,0
SGS_FT_2Tubi,941725,Numero campi errato,0
SGS_FT_2Tubi,941725,Codice non trovato nel database,0
SGS_FT_Espansione diretta,941726,Numero campi errato,0
SGS_FT_Espansione diretta,941726,Codice non trovato nel database,0
SGS_FT_Metano GPL,941727,Numero campi errato,0
SGS_FT_Metano GPL,941727,Codice non trovato nel database,0
SGS_SC_Esistenti,941728,Numero campi errato,0
SGS_SC_Esistenti,941728,Codice non trovato nel database,0
SGS_SC_Piazzale,941729,Numero campi errato,0
SGS_SC_Piazzale,941729,Codice non trovato nel database,0
SGS_AN_Esistenti,941730,Numero campi errato,0
SGS_AN_Esistenti,941730,Codice non trovato nel database,0
SGS_AN_Sprinkler,941731,Numero campi errato,0
SGS_AN_Sprinkler,941731,Codice non trovato nel database,0
SGS_AN_Water mist,941732,Numero campi errato,0
SGS_AN_Water mist,941732,Codice non trovato nel database,0
SGS_GT_Argon,941733,Numero campi errato,0
SGS_GT_Argon,941733,Codice non trovato nel database,0
SGS_GT_Elio,941734,Numero campi errato,0
SGS_GT_Elio,941734,Codice non trovato nel database,0
SGS_GT_Idrogeno,941735,Numero campi errato,0
SGS_GT_Idrogeno,941735,Codice non trovato nel database,0
SGS_GT_Metano,941736,Numero campi errato,0
SGS_GT_Metano,941736,Codice non trovato nel database,0
SGS_AR_SEFC,941737,Numero campi errato,0
SGS_AR_SEFC,941737,Codice non trovato nel database,0
Vani analitici,942405,Codice non trovato nel database,0
matClearanceZone,948963,Codice non trovato nel database,0
maMaintenanceZone,948964,Codice non trovato nel database,0
Painted Steel RAL 9002,948965,Codice non trovato nel database,0
Zinco,948966,Codice non trovato nel database,0
Aermec_Clearance,948967,Numero campi errato,0
Aermec_Clearance,948967,Codice non trovato nel database,0
magi2D,948968,Codice non trovato nel database,0
SGS_GS_Esistenti,952279,Numero campi errato,0
SGS_GS_Esistenti,952279,Codice non trovato nel database,0
SGS_ZZ_Trasparente,952282,Numero campi errato,0
SGS_ZZ_Trasparente,952282,Codice non trovato nel database,0
SGS_ID_Acqua ultrapura,952286,Numero campi errato,0
SGS_ID_Acqua ultrapura,952286,Codice non trovato nel database,0
SGS_ID_Acqua osmotizzata,952287,Numero campi errato,0
SGS_ID_Acqua osmotizzata,952287,Codice non trovato nel database,0
Sistema-Zone,952314,Codice non trovato nel database,0
SGS_Rame,952323,Numero campi errato,0
SGS_Rame,952323,Codice non trovato nel database,0
SGS_Acc Nero,952324,Numero campi errato,0
SGS_Acc Nero,952324,Codice non trovato nel database,0
SGS_INOX,952325,Numero campi errato,0
SGS_INOX,952325,Codice non trovato nel database,0
SGS_Zincato,952326,Numero campi errato,0
SGS_Zincato,952326,Codice non trovato nel database,0
SGS_PP-R,952327,Numero campi errato,0
SGS_PP-R,952327,Codice non trovato nel database,0
SGS_PEXAL,952328,Numero campi errato,0
SGS_PEXAL,952328,Codice non trovato nel database,0
SGS_HDPE,952329,Numero campi errato,0
SGS_HDPE,952329,Codice non trovato nel database,0
SGS_PVC,952330,Numero campi errato,0
SGS_PVC,952330,Codice non trovato nel database,0
SGS_PE,952331,Numero campi errato,0
SGS_PE,952331,Codice non trovato nel database,0
SGS_PP,952332,Numero campi errato,0
SGS_PP,952332,Codice non trovato nel database,0
Impianti Acciaio Nero,954319,Codice non trovato nel database,0
Impianti Acciaio Zincato,954327,Codice non trovato nel database,0
PVC grijs,971125,Codice non trovato nel database,0
PE,971246,Codice non trovato nel database,0
PE - binnenriolering,971276,Codice non trovato nel database,0
RAL 7037,1048426,Codice non trovato nel database,0
RAL 5015 - Sky blue - TRIPLUS®,1048427,Codice non trovato nel database,0
Color RGB 127-127-127,1048428,Codice non trovato nel database,0
Color RGB 122-125-128,1048429,Codice non trovato nel database,0
PP-Black,1048430,Codice non trovato nel database,0
Plastic-Orion-Polypropylene-Blueline,1104126,Codice non trovato nel database,0
Plastic-Orion-PVDF-Plenum Plus,1104127,Codice non trovato nel database,0
SGS_GEN,1144235,Numero campi errato,0
SGS_GEN,1144235,Codice non trovato nel database,0
Tetto di default,1144516,Codice non trovato nel database,0
Vetro,1144517,Codice non trovato nel database,0
Sorgente d'illuminazione di default,1144518,Codice non trovato nel database,0
Fase-Demo,1146319,Codice non trovato nel database,0
Fase-Esistente,1146320,Codice non trovato nel database,0
Fase-Temporaneo,1146321,Codice non trovato nel database,0
Superficie del pavimento di default,1288828,Codice non trovato nel database,0
Forma di default,1288829,Codice non trovato nel database,0
Superficie pavimento analitico,1288831,Codice non trovato nel database,0
Superficie solaio analitico,1288832,Codice non trovato nel database,0
Superficie muro analitico,1288833,Codice non trovato nel database,0
Superficie analitica - Muri esterni,1288834,Codice non trovato nel database,0
Superficie analitica - Tetti,1288835,Codice non trovato nel database,0
Superficie analitica - Solaio di fondazione,1288836,Codice non trovato nel database,0
Superficie analitica - Muri interni,1288837,Codice non trovato nel database,0
Superficie analitica - Pavimenti interni,1288838,Codice non trovato nel database,0
Superficie analitica - Controsoffitti,1288839,Codice non trovato nel database,0
Superficie analitica - Superfici d'aria,1288840,Codice non trovato nel database,0
Superficie analitica - Muri interrati,1288841,Codice non trovato nel database,0
Superficie analitica - Finestre apribili,1288842,Codice non trovato nel database,0
Superficie analitica - Lucernari apribili,1288843,Codice non trovato nel database,0
Superficie analitica - Porte scorrevoli,1288844,Codice non trovato nel database,0
Superficie analitica - Aperture di aerazione,1288845,Codice non trovato nel database,0
Superficie analitica - Avvolgibili,1288846,Codice non trovato nel database,0
SC_Steel,1330869,Numero campi errato,0
SC_Steel,1330869,Codice non trovato nel database,0
SC_Steel_Galvanized,1330870,Numero campi errato,0
SC_Steel_Galvanized,1330870,Codice non trovato nel database,0
SC_Nylon,1330871,Numero campi errato,0
SC_Nylon,1330871,Codice non trovato nel database,0
SC_Steel_Painted R9010,1330872,Numero campi errato,0
SC_Steel_Painted R9010,1330872,Codice non trovato nel database,0
"SC_Aluminium, natural anodized",1337789,Numero campi errato,0
"SC_Aluminium, natural anodized",1337789,Codice non trovato nel database,0
SC_Plastic Black,1337790,Numero campi errato,0
SC_Plastic Black,1337790,Codice non trovato nel database,0
"Plastica, Nero opaco",1337791,Codice non trovato nel database,0
SC_Aluminium RAL 9010,1337792,Numero campi errato,0
SC_Aluminium RAL 9010,1337792,Codice non trovato nel database,0
SC_Steel Galvanized,1337793,Numero campi errato,0
SC_Steel Galvanized,1337793,Codice non trovato nel database,0
"SC_Steel, Galvanized",1337794,Numero campi errato,0
"SC_Steel, Galvanized",1337794,Codice non trovato nel database,0
"SC_Aluminium, anodized",1337795,Numero campi errato,0
"SC_Aluminium, anodized",1337795,Codice non trovato nel database,0
SC_Copper,1337796,Numero campi errato,0
SC_Copper,1337796,Codice non trovato nel database,0
SC_Galvanized Steel,1337797,Numero campi errato,0
SC_Galvanized Steel,1337797,Codice non trovato nel database,0
SC_Steel RAL9010,1337798,Numero campi errato,0
SC_Steel RAL9010,1337798,Codice non trovato nel database,0
SC_Volume,1337799,Numero campi errato,0
SC_Volume,1337799,Codice non trovato nel database,0
EnclosingSpace_Material,1337800,Numero campi errato,0
EnclosingSpace_Material,1337800,Codice non trovato nel database,0
ConnectorSolidMaterial,1337801,Codice non trovato nel database,0
Material_2275,1337802,Numero campi errato,0
Material_2275,1337802,Codice non trovato nel database,0
Material_2273,1337803,Numero campi errato,0
Material_2273,1337803,Codice non trovato nel database,0
Material_2277,1337804,Numero campi errato,0
Material_2277,1337804,Codice non trovato nel database,0
Material_2276,1337805,Numero campi errato,0
Material_2276,1337805,Codice non trovato nel database,0
Material_23208,1337806,Numero campi errato,0
Material_23208,1337806,Codice non trovato nel database,0
Material_23207,1337807,Numero campi errato,0
Material_23207,1337807,Codice non trovato nel database,0
Material_23206,1337808,Numero campi errato,0
Material_23206,1337808,Codice non trovato nel database,0
Material_24033,1337809,Numero campi errato,0
Material_24033,1337809,Codice non trovato nel database,0
Material_24032,1337810,Numero campi errato,0
Material_24032,1337810,Codice non trovato nel database,0
Material_24031,1337811,Numero campi errato,0
Material_24031,1337811,Codice non trovato nel database,0
SC_Void,1337812,Numero campi errato,0
SC_Void,1337812,Codice non trovato nel database,0
Material_5877,1337813,Numero campi errato,0
Material_5877,1337813,Codice non trovato nel database,0
Material_5881,1337814,Numero campi errato,0
Material_5881,1337814,Codice non trovato nel database,0
Material_5879,1337815,Numero campi errato,0
Material_5879,1337815,Codice non trovato nel database,0
Material_5878,1337816,Numero campi errato,0
Material_5878,1337816,Codice non trovato nel database,0
SC_Command,1337817,Numero campi errato,0
SC_Command,1337817,Codice non trovato nel database,0
"SC_Steel, painted",1337818,Numero campi errato,0
"SC_Steel, painted",1337818,Codice non trovato nel database,0
SC_Air Filter,1337819,Numero campi errato,0
SC_Air Filter,1337819,Codice non trovato nel database,0
Filter,1337820,Codice non trovato nel database,0
SC_Stainless Steel AISI 304,1337821,Numero campi errato,0
SC_Stainless Steel AISI 304,1337821,Codice non trovato nel database,0
SC_Air Filter_OT,1337822,Numero campi errato,0
SC_Air Filter_OT,1337822,Codice non trovato nel database,0
SC_Stainless Steel AISI 304_RAL9010,1337823,Numero campi errato,0
SC_Stainless Steel AISI 304_RAL9010,1337823,Codice non trovato nel database,0
SC_Clearance,1337976,Numero campi errato,0
SC_Clearance,1337976,Codice non trovato nel database,0
Material_5876,1337977,Numero campi errato,0
Material_5876,1337977,Codice non trovato nel database,0
Material_5880,1337978,Numero campi errato,0
Material_5880,1337978,Codice non trovato nel database,0
Pannelli analitici,1424521,Codice non trovato nel database,0
Carichi analitici elettrici,1424602,Codice non trovato nel database,0
Render Material 255-255-255,1429353,Codice non trovato nel database,0
Render Material 0-255-0,1430110,Codice non trovato nel database,0
Render Material 255-0-255,1430117,Codice non trovato nel database,0
Render Material 255-0-191,1430132,Codice non trovato nel database,0
Render Material 128-128-128,1430135,Codice non trovato nel database,0
Render Material 255-255-0,1430140,Codice non trovato nel database,0
Render Material 0-127-255,1430149,Codice non trovato nel database,0
Render Material 0-255-255,1430152,Codice non trovato nel database,0
Render Material 255-127-0,1430159,Codice non trovato nel database,0
Render Material 255-127-255,1430168,Codice non trovato nel database,0
Render Material 165-124-0,1430185,Codice non trovato nel database,0
Render Material 0-255-191,1430190,Codice non trovato nel database,0
Render Material 255-63-0,1430195,Codice non trovato nel database,0
Render Material 0-165-0,1430198,Codice non trovato nel database,0
Render Material 127-223-255,1430201,Codice non trovato nel database,0
Render Material 255-191-0,1430204,Codice non trovato nel database,0
Render Material 0-82-165,1430207,Codice non trovato nel database,0
Render Material 101-101-101,1430232,Codice non trovato nel database,0
Render Material 255-127-223,1430235,Codice non trovato nel database,0
Render Material 255-0-0,1430244,Codice non trovato nel database,0
Render Material 63-255-0,1430247,Codice non trovato nel database,0
Render Material 0-63-255,1430252,Codice non trovato nel database,0
Render Material 255-255-127,1430257,Codice non trovato nel database,0
Render Material 0-124-165,1430260,Codice non trovato nel database,0
Render Material 204-204-204,1430263,Codice non trovato nel database,0
Render Material 0-191-255,1430266,Codice non trovato nel database,0
Render Material 192-192-192,1430285,Codice non trovato nel database,0
Render Material 223-127-255,1430292,Codice non trovato nel database,0
Render Material 165-0-165,1430297,Codice non trovato nel database,0
Render Material 255-159-127,1430300,Codice non trovato nel database,0
Render Material 127-255-0,1430303,Codice non trovato nel database,0
Render Material 159-127-255,1430306,Codice non trovato nel database,0
Render Material 191-127-255,1430321,Codice non trovato nel database,0
