Categoria,Nome Elemento,ID Elemento,Stato
Griglie,1,1211326,0
Livelli,Piano terra,311,0
Livelli,Planimetria impianto aeraulico - P1 - Inquadramento 1,694,0
Livelli,IM_LIV_PE_P00_+0.00m,1432224,0
Livelli,IM_LIV_PE_P01_+5.20m,1432225,1
Livelli,IM_LIV_PE_P02_+10.40m,1432226,1
Livelli,IM_LIV_PE_PC2_+15.73m,1432227,1
Livelli,IM_LIV_PE_PC1_+12.83m,1432228,1
