Categoria,Id Elemento,Livello Base,Livello Superiore,Offset Base,Offset Superiore,Verifica,Stato
Pilastri strutturali,866982,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,866983,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,871005,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,871229,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,871241,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,871319,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,871362,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,871363,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,871364,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,871365,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,871400,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,871468,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,871756,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,880893,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,880894,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,880895,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,880896,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,880897,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,880898,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,880899,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,880900,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,880901,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,902432,ST_LIV_PE_P02_+10.28m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,903291,ST_LIV_PE_P02_+10.28m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,903420,ST_LIV_PE_P02_+10.28m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,904986,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,904987,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,904988,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,905023,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,908112,ST_LIV_PE_P02_+10.28m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
