Nome File,Dimensione,Verifica,Stato
9nnn_J.002_028_PE_ST_M3_03_00.ifc,10.000 MB,File coretto,1
9nnn_J.002_028_PE_ST_M3_03_00.rvt,22.000 MB,File corretto,1
