1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,718109,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,718187,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,718333,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,718344,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,718355,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,718366,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,718388,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,718845,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,718907,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,719083,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,719136,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,719263,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,719319,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,719330,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,719773,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,719829,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,719871,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x78,,719905,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolare:50X28,,720080,0
