Categoria,Id Elemento,Livello Base,Livello Superiore,Offset Base,Offset Superiore,Verifica,Stato
Muri,698117,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.40000000000000002,Elemento non vincolato correttamente tra livelli.,0
Muri,698208,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,698209,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,698210,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,698211,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,698391,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,698392,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,698393,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,698394,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,698617,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,699623,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,-0.29999999999999999,Elemento non vincolato correttamente tra livelli.,0
Muri,713873,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,713874,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,713875,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,713876,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,713976,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,714051,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,714094,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,726360,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,0.0,-0.57999999999999996,Elemento vincolato correttamente tra livelli.,1
Muri,726364,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,0.0,-0.57999999999999996,Elemento vincolato correttamente tra livelli.,1
Muri,726368,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,0.0,-0.57999999999999996,Elemento vincolato correttamente tra livelli.,1
Muri,726372,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,0.0,-0.57999999999999996,Elemento vincolato correttamente tra livelli.,1
Muri,726406,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,0.0,-0.57999999999999996,Elemento vincolato correttamente tra livelli.,1
