Nome Famiglia - Tipo,Ifc Class,GUID,Element ID,Verifica,Stato
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASv2,705290,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASv3,705291,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvS,705300,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvT,705301,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvU,705302,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvV,705303,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASve,705312,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvf,705313,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvg,705314,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvh,705315,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvm,705336,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvn,705337,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvo,705338,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvp,705339,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASuS,705364,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASuT,705365,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASuU,705366,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASuV,705367,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASue,705376,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASuf,705377,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASug,705378,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASuh,705379,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASua,705388,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASub,705389,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASuc,705390,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASud,705391,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASum,705400,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASun,705401,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASuo,705402,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASup,705403,Nessuna regola per la classe IFC: IfcPile,0
