Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_AR_M3_01_00.ifc,Verifica Corretta,83.272 MB,1
9nnn_J.002_028_PE_AR_M3_01_00.rvt,Peso Eccessivo,233.910 MB,0
