Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_FA_M3_01_00.ifc,Verifica Corretta,113.934 MB,1
9nnn_J.002_028_PE_FA_M3_01_00.rvt,Verifica Corretta,109.117 MB,1
