Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_FA_M3_01_00.ifc,Verifica Corretta,106.899 MB,1
9nnn_J.002_028_PE_FA_M3_01_00.rvt,Peso Eccessivo,252.598 MB,0
