Nome File,Dimensione,Verifica,Stato
9nnn_J.002_028_PE_FA_M3_01_00.ifc,14.000 MB,File corretto,1
9nnn_J.002_028_PE_FA_M3_01_00.rvt,54.000 MB,File corretto,1
