Nome Elemento,Ifc Class,GUID IFC,GUID Nativo,Tag IFC,Element Id Nativo,Verifica,Stato
FA_PAF_TEL_Lst_PannelloLamieraStirataAngolo - FA_PAF_TEL_Lst_PannelloLamieraStirata-tipo1.A,IfcPlate,2BtfKyqR91lgU8A9G$T2J_,2BtfKyqR91lgU8A9G$T2J_,2140707,2140707,Corretto,1
FA_PAF_TEL_Lst_PannelloLamieraStirata - FA_PAF_TEL_Lst_PannelloLamieraStirata,IfcPlate,2BtfKyqR91lgU8A9G$T2Te,2BtfKyqR91lgU8A9G$T2Te,2140597,2140597,Corretto,1
FA_PAF_TEL_Lst_PannelloLamieraStirata - FA_PAF_TEL_Lst_PannelloLamieraStirata,IfcPlate,2BtfKyqR91lgU8A9G$T2Tg,2BtfKyqR91lgU8A9G$T2Tg,2140599,2140599,Corretto,1
FA_PAF_TEL_Lst_PannelloLamieraStirata - FA_PAF_TEL_Lst_PannelloLamieraStirata,IfcPlate,2BtfKyqR91lgU8A9G$T2Ta,2BtfKyqR91lgU8A9G$T2Ta,2140601,2140601,Corretto,1
FA_PAF_TEL_Lst_PannelloLamieraStirata - FA_PAF_TEL_Lst_PannelloLamieraStirata,IfcPlate,2BtfKyqR91lgU8A9G$T2J1,2BtfKyqR91lgU8A9G$T2J1,2140700,2140700,Corretto,1
FA_PAF_TEL_Lst_PannelloLamieraStirata - FA_PAF_TEL_Lst_PannelloLamieraStirata RAL 7015 (Mascheramento impianti),IfcPlate,2BtfKyqR91lgU8A9G$T3V0,2BtfKyqR91lgU8A9G$T3V0,2144541,2144541,Corretto,1
FA_PAF_TEL_Lst_PannelloLamieraStirata - FA_PAF_TEL_Lst_PannelloLamieraStirata RAL 7015 (Mascheramento impianti),IfcPlate,2BtfKyqR91lgU8A9G$T3Vz,2BtfKyqR91lgU8A9G$T3Vz,2144544,2144544,Corretto,1
FA_PAF_TEL_Lst_PannelloLamieraStirata - FA_PAF_TEL_Lst_PannelloLamieraStirata RAL 7015 (Mascheramento impianti),IfcPlate,2BtfKyqR91lgU8A9G$T3V$,2BtfKyqR91lgU8A9G$T3V$,2144546,2144546,Corretto,1
FA_PAF_TEL_Lst_PannelloLamieraStirata - FA_PAF_TEL_Lst_PannelloLamieraStirata RAL 7015 (Mascheramento impianti),IfcPlate,2BtfKyqR91lgU8A9G$T3Vv,2BtfKyqR91lgU8A9G$T3Vv,2144548,2144548,Corretto,1
FA_PAF_TEL_Lst_PannelloLamieraStirata - FA_PAF_TEL_Lst_PannelloLamieraStirata RAL 7015 (Mascheramento impianti),IfcPlate,2BtfKyqR91lgU8A9G$T3Vx,2BtfKyqR91lgU8A9G$T3Vx,2144550,2144550,Corretto,1
FA_PAF_TEL_Lst_PannelloLamieraStirata - FA_PAF_TEL_Lst_PannelloLamieraStirata RAL 7015 (Mascheramento impianti),IfcPlate,2BtfKyqR91lgU8A9G$T3Vr,2BtfKyqR91lgU8A9G$T3Vr,2144552,2144552,Corretto,1
