Nome Elemento,Ifc Class,GUID IFC,GUID Nativo,Tag IFC,Element Id Nativo,Verifica,Stato
ST_MNT_Acc_UPN240,IfcMember,Non trovato,1Nrw6iOaTFdeukjPACBnJG,Non trovato,1246438,Non presente in IFC,0
ST_MNT_Acc_UPN240,IfcMember,Non trovato,1Nrw6iOaTFdeukjPACBnJP,Non trovato,1246447,Non presente in IFC,0
ST_MNT_Acc_UPN240,IfcMember,Non trovato,1Nrw6iOaTFdeukjPACBnN3,Non trovato,1246709,Non presente in IFC,0
ST_MNT_Acc_UPN240,IfcMember,Non trovato,1Nrw6iOaTFdeukjPACBnN8,Non trovato,1246718,Non presente in IFC,0
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktycLD,2SJ2KbuMrAqu_dvZktycLD,712481,712481,Corretto,1
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktycNo,2SJ2KbuMrAqu_dvZktycNo,712606,712606,Corretto,1
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktycNB,2SJ2KbuMrAqu_dvZktycNB,712615,712615,Corretto,1
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktycMN,2SJ2KbuMrAqu_dvZktycMN,712699,712699,Corretto,1
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktybfI,2SJ2KbuMrAqu_dvZktybfI,712766,712766,Corretto,1
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktybfJ,2SJ2KbuMrAqu_dvZktybfJ,712767,712767,Corretto,1
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktybei,2SJ2KbuMrAqu_dvZktybei,712768,712768,Corretto,1
INC_TelST_TS.AC_IPE - IPE450,IfcBeam,2SJ2KbuMrAqu_dvZktybej,2SJ2KbuMrAqu_dvZktybej,712769,712769,Corretto,1
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktybek,2SJ2KbuMrAqu_dvZktybek,712770,712770,Corretto,1
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktybhL,2SJ2KbuMrAqu_dvZktybhL,712889,712889,Corretto,1
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktybhM,2SJ2KbuMrAqu_dvZktybhM,712890,712890,Corretto,1
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktybhN,2SJ2KbuMrAqu_dvZktybhN,712891,712891,Corretto,1
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktybhH,2SJ2KbuMrAqu_dvZktybhH,712893,712893,Corretto,1
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktybgb,2SJ2KbuMrAqu_dvZktybgb,712905,712905,Corretto,1
INC_TelST_TS.AC_HE - HEB500,IfcBeam,2SJ2KbuMrAqu_dvZktybgc,2SJ2KbuMrAqu_dvZktybgc,712906,712906,Corretto,1
