Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_ST_M3_02_00.ifc,Verifica Corretta,4.884 MB,1
9nnn_J.002_028_PE_ST_M3_02_00.rvt,Verifica Corretta,13.402 MB,1
