Categoria,Nome Elemento,ID Elemento,Stato
Livelli,ST_LIV_PE_P00_-0.48m,666044,1
Livelli,AR_LIV_PE_P00_+0.00m,666323,1
Livelli,ST_LIV_PE_P01_+5.08m,666660,1
Livelli,AR_LIV_PE_P01_+5.20m,666662,1
Livelli,ST_LIV_PE_P02_+10.28m,666664,1
Livelli,AR_LIV_PE_P02_+10.40m,666666,1
Livelli,ST_LIV_PE_PC2_+15.48m,666668,1
Livelli,AR_LIV_PE_PC2_+15.73m,666670,1
Livelli,AR_LIV_PE_PC1_+12.83m,679086,1
Livelli,ST_LIV_PE_PC1_+12.50m,686512,1
Livelli,ST_LIV_PE_PC2_+16.25m,700120,1
Livelli,ST_LIV_PE_PC3_+19.85m,700122,1
