Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Fase,Verifica,Stato
Raccordi passerella,IE_TRA_RIG_Azc_Perforated_Bend_Vertical Outside,Standard,933470,J002_SDP,Fase corretta,1
Attrezzatura elettrica,IE_DIS_ATE_DPR_Trasformatore,2500 kVA,4367271,J002_SDP,Fase corretta,1
Attrezzatura elettrica,IE_DIS_ATE_DPR_Trasformatore,2500 kVA,4367338,J002_SDP,Fase corretta,1
Attrezzatura elettrica,IE_DIS_ATE_DPR_Trasformatore,2500 kVA,4367346,J002_SDP,Fase corretta,1
Attrezzatura elettrica,IE_DIS_DDA_TDA_Rack Dati,RACK 47U - 800x800,4372013,J002_SDP,Fase corretta,1
Attrezzatura elettrica,IE_DIS_ATE_DPR_UPS,UPS 250+50,4372132,J002_SDP,Fase corretta,1
Attrezzatura elettrica,IE_DIS_ATE_DPR_UPS,UPS 2kVA,4375082,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4388742,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4388810,J002_SDP,Fase corretta,1
Raccordi passerella,IE_TRA_RIG_Azc_Channel Horizontal Bend,Standard,4388820,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4388991,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4388998,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4389010,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4389016,J002_SDP,Fase corretta,1
Raccordi passerella,IE_TRA_RIG_Azc_Channel Horizontal Bend,Standard,4392750,J002_SDP,Fase corretta,1
Raccordi passerella,IE_TRA_RIG_Azc_Channel Horizontal Bend,Standard,4392751,J002_SDP,Fase corretta,1
Raccordi passerella,IE_TRA_RIG_Azc_Channel Horizontal Bend,Standard,4392876,J002_SDP,Fase corretta,1
