Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_IE_M3_01_00.ifc,Verifica Corretta,108.894 MB,1
9nnn_J.002_028_PE_IE_M3_01_00.rvt,Peso Eccessivo,209.465 MB,0
