Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_ST_M3_03_00.ifc,Verifica Corretta,53.056 MB,1
9nnn_J.002_028_PE_ST_M3_03_00.rvt,Verifica Corretta,78.145 MB,1
