Qty.,Model,Type Name,Tag,Stato
1,9nnn_J.002_028_PE_ST_M3_03_00,Scala assemblata:ST_SCA_ASS_UPN200_Grigliato_StraightRun,1252685,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Scala assemblata:ST_SCA_ASS_UPN200_Grigliato_StraightRun,1252722,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Scala assemblata:ST_SCA_ASS_UPN200_Grigliato_TwoStraightRun,1261988,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1017081,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1017283,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1017416,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1017615,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1031993,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1032550,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1033304,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1033638,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1034366,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1034481,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1034626,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1034753,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1035441,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1035586,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1035731,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1035845,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041372,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041387,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041403,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041419,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041440,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041444,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041448,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041452,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041457,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041461,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041471,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041481,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041511,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041515,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041519,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_Grigliato,1041523,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_LamieraPressopiegata,1057938,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_LamieraPressopiegata,1057996,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_LamieraPressopiegata,1058176,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_LamieraPressopiegata,1071089,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_LamieraPressopiegata,1071102,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Rampa non monolitica:ST_RMS_RET_Acc_LamieraPressopiegata,1071182,1
