Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_AR_M3_03_00.ifc,Verifica Corretta,37.498 MB,1
9nnn_J.002_028_PE_AR_M3_03_00.rvt,Verifica Corretta,110.316 MB,1
