Quantità,Nome della Famiglia e del Tipo,Valore Parametri,IFC Element,ID,Verifica,Stato
9,Pavimento:AR_PAV_RIV_20mm_FL-001,J.002,IfcSlab,,Corretta,1
13,Pavimento:AR_PAV_GET_460mm_PI.01,J.002,IfcSlab,,Corretta,1
5,Pavimento:AR_PAV_GET_460mm_PI.02,J.002,IfcSlab,,Corretta,1
4,Pavimento:AR_PAV_GET_460mm_PI.03,J.002,IfcSlab,,Corretta,1
9,Pavimento:AR_PAV_GET_100mm_PI.12,J.002,IfcSlab,,Corretta,1
1,Tetto di base:AR_TET_PIA_200mm_PE.23,J.002,IfcSlab,,Corretta,1
1,Pavimento:AR_PAV_RIV_20mm_FL-007,J.002,IfcSlab,,Corretta,1
1,Pavimento:AR_PAV_GET_1270mm_PI.04,J.002,IfcSlab,,Corretta,1
1,Pavimento:AR_PAV_GET_210mm_PI.06,J.002,IfcSlab,,Corretta,1
1,Tetto di base:AR_TET_PIA_482mm_PE.21,J.002,IfcSlab,,Corretta,1
1,Scala gettata in opera:AR_SCA_ASS_Gre_20mm_FL-002,J.002,IfcStair,,Corretta,1
7,Scala gettata in opera:AR_SCA_ASS_FL-002_20mm,J.002,IfcStair,,Corretta,1
2,Scala gettata in opera:AR_SCA_ASS_Gre_34000x56000_F&B_P1,J.002,IfcStair,,Corretta,1
1,Scala gettata in opera:AR_SCA_ASS_Gre_32000x63000_Retail piazza_P1,J.002,IfcStair,,Corretta,1
1,Scala gettata in opera:AR_SCA_RET_Gre_1300x115000_Lineare,J.002,IfcStair,,Corretta,1
12,Scala gettata in opera:AR_SCA_ASS_Gre_50mm_FL-002,J.002,IfcStair,,Corretta,1
4,Rampa monolitica:AR_SCA_ASS_Gre_20mm_FL-002,J.002,IfcStairFlight,,Corretta,1
23,Rampa monolitica:AR_SCA_ASS_FL-002_20mm,J.002,IfcStairFlight,,Corretta,1
6,Rampa monolitica:AR_RMS_RET_Gres_1400_F&B_P1,J.002,IfcStairFlight,,Corretta,1
3,Rampa monolitica:AR_RMS_RET_Gre_1200_Retail piazza_P1,J.002,IfcStairFlight,,Corretta,1
3,Rampa monolitica:AR_RMS_RET_Gres_1300x2700_Rampa Piazza,J.002,IfcStairFlight,,Corretta,1
12,Rampa monolitica:AR_SCA_ASS_Gre_50mm_FL-002,J.002,IfcStairFlight,,Corretta,1
228,Muro di base:AR_MUR_DIV_200mm_MI.01,J.002,IfcWall,,Corretta,1
240,Muro di base:AR_MUR_DIV_150mm_MI.11,J.002,IfcWall,,Corretta,1
91,Muro di base:AR_MUR_DIV_150mm_MI.23,J.002,IfcWall,,Corretta,1
129,Muro di base:AR_MUR_RIV_24mm_R.07,J.002,IfcWall,,Corretta,1
22,Muro di base:AR_MUR_RIV_14mm_R.06,J.002,IfcWall,,Corretta,1
293,Muro di base:AR_MUR_RIV_20mm_R.08,J.002,IfcWall,,Corretta,1
72,Muro di base:AR_MUR_RIV_30mm_R.10,J.002,IfcWall,,Corretta,1
26,Muro di base:AR_MUR_RIV_64mm_R.03,J.002,IfcWall,,Corretta,1
1,AR_ARR_ARR_ImbotteGate:AR_ARR_ARR_ImbotteGate_5700x1850,J.002,IfcWall,,Corretta,1
1,AR_ARR_ARR_ImbotteGate:AR_ARR_ARR_ImbotteGate_5500x1850,J.002,IfcWall,,Corretta,1
