ID,Raggruppamento,Descrizione,Formato,Percentuale
11,Georeferenziazione e Orientamento,Il sistema di coordinate è georeferenziato in longitudine e latitudine coerentemente con il sistema condiviso.,Nativo + ifc,100%
12,Georeferenziazione e Orientamento,I modelli disciplinari sono posizionati alla corretta quota altimetrica.,Nativo + ifc,100%
13,Georeferenziazione e Orientamento,Il modello condivide il medesimo sistema di coordinate e si posiziona coerentemente rispetto al file URS.,Nativo + ifc,100%
14,Georeferenziazione e Orientamento,Il Nord Reale è correttamente impostato.,Nativo + ifc,100%
