Nome File,Dimensione,Verifica,Stato
9nnn_J.002_028_PE_AR_M3_02_00.ifc,0.001 MB,File vuoto,0
9nnn_J.002_028_PE_AR_M3_02_00.rvt,21.000 MB,File corretto,1
