Nome Locale,ID Elemento,Verifica,Stato
Servizi al passeggero,1200608,Locale Posizionato,1
Area a disp.,1205973,Locale Posizionato,1
WC staff,1242582,Locale Posizionato,1
WC Family,1243550,Locale Posizionato,1
Circolazione,1244335,Locale Posizionato,1
Circolazione,1250353,Locale Posizionato,1
Circolazione,1250490,Locale Posizionato,1
Circolazione,1251904,Locale Posizionato,1
Servizi al passeggero,1264644,Locale Posizionato,1
L.T.,1264648,Locale Posizionato,1
L.T.,1265938,Locale Posizionato,1
L.T.,1265940,Locale Posizionato,1
Circolazione,1287685,Locale Posizionato,1
Circolazione,1287689,Locale Posizionato,1
Retail,1287716,Locale Posizionato,1
Retail,1287718,Locale non posizionato,0
Retail,1287720,Locale Posizionato,1
Retail,1287722,Locale Posizionato,1
Retail,1287724,Locale Posizionato,1
Retail,1292108,Locale Posizionato,1
F&B,1292858,Locale Posizionato,1
Circolazione,1306097,Locale Posizionato,1
Circolazione,1310153,Locale Posizionato,1
Circolazione,1310156,Locale Posizionato,1
Area staff,1310159,Locale Posizionato,1
Circolazione,1343920,Locale Posizionato,1
Circolazione,1348975,Locale Posizionato,1
Riconsegna bagagli,1555931,Locale Posizionato,1
Canale sanitario,1569414,Locale Posizionato,1
L.T.,1624876,Locale Posizionato,1
WC dis.,1626635,Locale Posizionato,1
Deposito,1626637,Locale Posizionato,1
WC D,1626642,Locale Posizionato,1
Area di processamento,1626647,Locale Posizionato,1
Cleaning,1626752,Locale Posizionato,1
L.T.,1635186,Locale Posizionato,1
L.T.,1639757,Locale Posizionato,1
WC staff,1671810,Locale Posizionato,1
Circolazione,1672396,Locale Posizionato,1
Enti di stato,1942051,Locale Posizionato,1
L.T.,1944802,Locale Posizionato,1
Circolazione,1964966,Locale Posizionato,1
L.T.,2026988,Locale Posizionato,1
L.T.,2027008,Locale Posizionato,1
Circolazione,2027022,Locale Posizionato,1
F&B,2032121,Locale Posizionato,1
Cavedio,2043816,Locale Posizionato,1
Cavedio,2044141,Locale Posizionato,1
F&B,2044145,Locale Posizionato,1
Area desk,2044206,Locale Posizionato,1
Area desk,2044375,Locale Posizionato,1
Area preimbarco,2044377,Locale Posizionato,1
Accodamento,2044423,Locale Posizionato,1
Area sedute gate,2044536,Locale non posizionato,0
Cavedio,2044691,Locale Posizionato,1
Cavedio,2048163,Locale Posizionato,1
Magazzini,2174987,Locale Posizionato,1
Magazzini,2174988,Locale Posizionato,1
Magazzini,2174989,Locale Posizionato,1
Cavedio,2569287,Locale Posizionato,1
Cavedio,2569353,Locale Posizionato,1
Cavedio,2569431,Locale Posizionato,1
Servizi al passeggero,2623884,Locale non posizionato,0
Retail,2789226,Locale Posizionato,1
L.T.,2789227,Locale Posizionato,1
Area sedute gate,2789241,Locale Posizionato,1
