GUID,ID,Categoria,Famiglia e Tipo,Stato
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001252c9,1203440,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001252d1,1203441,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001252d9,1203442,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001252df,1203443,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001252e9,1203444,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001252f3,1203445,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001252fd,1203446,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125307,1203447,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-0012530f,1203448,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125317,1203449,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-0012531f,1203450,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125329,1203451,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125333,1203452,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-0012533b,1203453,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125345,1203454,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125357,1203455,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
