Nome Locale,ID Elemento,Verifica,Stato
SERVIZI AL PASSEGGERO,1155665,Locale Posizionato,1
AREA SEDUTE GATE,1155667,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1155669,Locale Posizionato,1
RETAIL,1155671,Locale Posizionato,1
F&B,1155673,Locale Posizionato,1
AREA PREIMBARCO,1156157,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1156162,Locale Posizionato,1
F&B,1156575,Locale Posizionato,1
F&B,1157793,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1158229,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1158231,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1158233,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1158235,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1158239,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1158243,Locale Posizionato,1
F&B,1158631,Locale Posizionato,1
RETAIL,1158654,Locale Posizionato,1
RETAIL,1158844,Locale Posizionato,1
RETAIL,1158846,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1158848,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1159365,Locale Posizionato,1
GATEROOM,1159923,Locale Posizionato,1
GATEROOM,1159958,Locale Posizionato,1
RETAIL,1160045,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1187668,Locale Posizionato,1
AREA STAFF,1187767,Locale Posizionato,1
AREA STAFF,1187769,Locale Posizionato,1
IMPIANTI,1187771,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1188576,Locale Posizionato,1
WC PASSEGGERI,1188761,Locale Posizionato,1
WC PASSEGGERI,1188765,Locale Posizionato,1
WC PASSEGGERI,1188767,Locale Posizionato,1
F&B,1189075,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1189530,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1190303,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1190608,Locale Posizionato,1
F&B,1190610,Locale Posizionato,1
F&B,1190706,Locale Posizionato,1
F&B,1191664,Locale Posizionato,1
F&B,1191668,Locale Posizionato,1
F&B,1191670,Locale Posizionato,1
IMPIANTI,1191743,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1192933,Locale Posizionato,1
GATEROOM,1196104,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1196106,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1196108,Locale Posizionato,1
RETAIL,1197515,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1197517,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1197521,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1200608,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1200765,Locale Posizionato,1
RETAIL,1205968,Locale Posizionato,1
AREE A DISPOSIZIONE,1205973,Locale Posizionato,1
F&B,1209629,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1209631,Locale Posizionato,1
WC STAFF,1242582,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1243337,Locale Posizionato,1
RETAIL,1243349,Locale Posizionato,1
F&B,1243545,Locale Posizionato,1
WC PASSEGGERI,1243550,Locale Posizionato,1
WC PASSEGGERI,1243561,Locale Posizionato,1
WC PASSEGGERI,1243563,Locale Posizionato,1
WC PASSEGGERI,1243565,Locale Posizionato,1
WC PASSEGGERI,1243567,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1244335,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1250353,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1250490,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1251904,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,1255661,Locale Posizionato,1
SERVIZI AL PASSEGGERO,1264644,Locale Posizionato,1
IMPIANTI,1264648,Locale Posizionato,1
IMPIANTI,1265938,Locale Posizionato,1
IMPIANTI,1265940,Locale Posizionato,1
