Nome Elemento,ID Elemento,Verifica,Stato
Muro di base: AR_MUR_TAM_200_Generico,680542,Room Bounding Attivato,1
Muro di base: AR_MUR_TAM_200_Generico,680655,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_230_Generico,680909,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_100_Generico,681665,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_100_Generico,681742,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_100_Generico,681807,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_100_Generico,681912,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,682223,Room Bounding Attivato,1
Muro di base: AR_MUR_TAM_200_Generico,682517,Room Bounding Attivato,1
Muro di base: AR_MUR_TAM_200_Generico,682690,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,683012,Room Bounding Attivato,1
Muro di base: AR_MUR_TAM_500_Generico,683256,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,683520,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,683813,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,683925,Room Bounding Attivato,1
Muro di base: AR_MUR_TAM_200_Generico,684149,Room Bounding Attivato,1
Muro di base: AR_MUR_TAM_200_Generico,684355,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,684460,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,684541,Room Bounding Attivato,1
Muro di base: AR_MUR_TAM_200_Generico,684639,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,684801,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,684879,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,684933,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,685412,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,685511,Room Bounding Attivato,1
Pavimento: AR_PAV_MAI_480_MS.01_FL-001,685974,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_175_Generico,687214,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,687431,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,687490,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,687618,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_175_Generico,687679,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,687823,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,687915,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_175_Generico,688113,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,688167,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,688255,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,688498,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,688645,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,688704,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,688783,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,688859,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,688997,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,689057,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,689234,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,689292,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,689344,Room Bounding Attivato,1
