Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_IM_M3_01_00.ifc,Peso Eccessivo,212.186 MB,0
9nnn_J.002_028_PE_IM_M3_01_00.rvt,Verifica Corretta,195.422 MB,1
