Categoria,Nome Elemento,ID Elemento,Verifica,Offset Rilevato,Stato
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1495506,Offset Negativo.,-5.5800000000000001,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1495605,Offset Negativo.,-0.67000000000000004,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1495614,Offset Negativo.,-5.5899999999999999,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1495616,Offset Negativo.,-5.5899999999999999,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1495618,Offset Negativo.,-5.4699999999999998,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1495628,Offset Negativo.,-0.67000000000000004,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1495630,Offset Negativo.,-0.79000000000000004,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1496150,Offset Negativo.,-0.92000000000000004,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1496152,Offset Negativo.,-0.46999999999999997,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1496154,Offset Negativo.,-0.58999999999999997,0
Raccordi tubazione,IM_PAF_TEE_Pvc_T standard,1496258,Offset Negativo.,-5.5899999999999999,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva,1496270,Offset Negativo.,-5.5800000000000001,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1496760,Offset Negativo.,-5.5700000000000003,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1496778,Offset Negativo.,-5.5700000000000003,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1496780,Offset Negativo.,-5.4500000000000002,0
Raccordi tubazione,IM_PAF_TEE_Pvc_T standard,1499136,Offset Negativo.,-1.05,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1499610,Offset Negativo.,-0.89000000000000001,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1499614,Offset Negativo.,-0.88,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1499616,Offset Negativo.,-1.76,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1499618,Offset Negativo.,-1.76,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1499628,Offset Negativo.,-1.9099999999999999,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1499630,Offset Negativo.,-1.79,0
Raccordi tubazione,IM_PAF_TEE_Pvc_T standard,1503852,Offset Negativo.,-0.42999999999999999,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1504251,Offset Negativo.,-0.40000000000000002,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1504262,Offset Negativo.,-0.28000000000000003,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1504264,Offset Negativo.,-0.40000000000000002,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1507201,Oggetto conforme.,3.0899999999999999,1
