Nome Elemento,Ifc Class,GUID IFC,GUID Nativo,Tag IFC,Element Id Nativo,Verifica,Stato
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzGTdc,1ejeqeTfj4aAB8_tWzGTdc,1900504,1900504,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzGTdN,1ejeqeTfj4aAB8_tWzGTdN,1900521,1900521,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzGTd0,1ejeqeTfj4aAB8_tWzGTd0,1900542,1900542,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzG2Oj,1ejeqeTfj4aAB8_tWzG2Oj,1900563,1900563,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzG2O7,1ejeqeTfj4aAB8_tWzG2O7,1900601,1900601,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzG2O1,1ejeqeTfj4aAB8_tWzG2O1,1900607,1900607,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzG2Py,1ejeqeTfj4aAB8_tWzG2Py,1900610,1900610,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzG2Pv,1ejeqeTfj4aAB8_tWzG2Pv,1900615,1900615,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzG2Pq,1ejeqeTfj4aAB8_tWzG2Pq,1900618,1900618,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzG2Pn,1ejeqeTfj4aAB8_tWzG2Pn,1900623,1900623,Corretto,1
