Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_AR_M3_01_00.ifc,Verifica Corretta,120.722 MB,1
9nnn_J.002_028_PE_AR_M3_01_00.rvt,Verifica Corretta,123.844 MB,1
