Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_IE_M3_01_00.ifc,Verifica Corretta,28.509 MB,1
9nnn_J.002_028_PE_IE_M3_01_00.rvt,Peso Eccessivo,348.945 MB,0
