Nome File,Verifica,Dimensione,Stato
9002_J.002_028_PE_UR_M3_01_00.ifc,Peso Eccessivo,278.932 KB,0
9002_J.002_028_PE_UR_M3_01_00.rvt,Verifica Corretta,62.684 MB,1
