Nome Materiale,ID Elemento,Verifica,Stato
Superficie analitica - Controsoffitti,852644,Codice non trovato nel database,0
Superficie analitica - Superfici d'aria,852646,Codice non trovato nel database,0
Superficie analitica - Muri interrati,852648,Codice non trovato nel database,0
Superficie analitica - Finestre apribili,852650,Codice non trovato nel database,0
Superficie analitica - Lucernari apribili,852652,Codice non trovato nel database,0
Superficie analitica - Porte scorrevoli,852654,Codice non trovato nel database,0
Superficie analitica - Aperture di aerazione,852656,Codice non trovato nel database,0
Superficie analitica - Avvolgibili,852658,Codice non trovato nel database,0
Materiale per il rendering 255-255-255,852699,Codice non trovato nel database,0
Materiale per il rendering 255-0-0,852700,Codice non trovato nel database,0
Materiale per il rendering 0-0-255,852701,Codice non trovato nel database,0
Materiale per il rendering 38-38-126,852702,Codice non trovato nel database,0
Materiale per il rendering 255-255-0,852703,Codice non trovato nel database,0
PVC - Bianco,852704,Codice non trovato nel database,0
Liscia - Blu marina,852705,Codice non trovato nel database,0
Liscia - Verde mare scuro,852706,Codice non trovato nel database,0
Liscia - Nero,852707,Codice non trovato nel database,0
Liscia - Rosso,852708,Codice non trovato nel database,0
Soletta di default,852711,Codice non trovato nel database,0
Materiale per il rendering 101-101-101,852712,Codice non trovato nel database,0
Materiale per il rendering 0-255-255,852713,Codice non trovato nel database,0
Materiale per il rendering 255-0-255,852714,Codice non trovato nel database,0
Materiale per il rendering 0-191-255,852715,Codice non trovato nel database,0
Materiale per il rendering 165-0-82,852716,Codice non trovato nel database,0
Materiale per il rendering 0-127-0,852717,Codice non trovato nel database,0
Materiale per il rendering 102-102-102,852718,Codice non trovato nel database,0
Materiale per il rendering 0-0-0,852781,Codice non trovato nel database,0
Materiale per il rendering 128-128-128,852782,Codice non trovato nel database,0
Materiale per il rendering 127-0-255,852786,Codice non trovato nel database,0
Plastic - UTC Edwards - White,852790,Codice non trovato nel database,0
Plastic - UTC Edwards - Red,852791,Codice non trovato nel database,0
Glass - UTC Edwards - Clear,852799,Codice non trovato nel database,0
Steel - UTC Edwards -  Chrome,852803,Codice non trovato nel database,0
Color RGB 249-249-249,852812,Codice non trovato nel database,0
Color RGB 155-163-166,852813,Codice non trovato nel database,0
Color RGB 209-209-209,852814,Codice non trovato nel database,0
Xtech_Bosch_Blue,852823,Numero campi errato,0
Xtech_Bosch_Blue,852823,Codice non trovato nel database,0
Xtech_Bosch_ABS_White,852824,Numero campi errato,0
Xtech_Bosch_ABS_White,852824,Codice non trovato nel database,0
Default - Arredi,852828,Codice non trovato nel database,0
Default - Controsoffitto,852829,Codice non trovato nel database,0
Default - Finestre,852830,Codice non trovato nel database,0
Default - Calcestruzzo,852831,Codice non trovato nel database,0
Default - Vetro,852832,Codice non trovato nel database,0
Default - Tetto,852833,Codice non trovato nel database,0
Default - Topografia,852834,Codice non trovato nel database,0
Materiale per il rendering 0-255-191,852841,Codice non trovato nel database,0
Materiale per il rendering 127-0-0,852842,Codice non trovato nel database,0
Materiale per il rendering 165-0-0,852843,Codice non trovato nel database,0
Materiale per il rendering 0-127-31,852844,Codice non trovato nel database,0
Materiale per il rendering 255-191-0,852845,Codice non trovato nel database,0
Materiale per il rendering 0-127-255,852846,Codice non trovato nel database,0
Materiale per il rendering 255-127-0,852847,Codice non trovato nel database,0
Materiale per il rendering 0-165-0,852848,Codice non trovato nel database,0
Plastic-Hill-Rom-Cream,852849,Codice non trovato nel database,0
Display-Hill-Rom-SVGA,852851,Codice non trovato nel database,0
Materiale per il rendering 0-63-255,852860,Codice non trovato nel database,0
Materiale per il rendering 82-124-165,852861,Codice non trovato nel database,0
Aluminum_RAL7035,852865,Numero campi errato,0
Aluminum_RAL7035,852865,Codice non trovato nel database,0
HighImpactABS_RAL7035,852867,Numero campi errato,0
HighImpactABS_RAL7035,852867,Codice non trovato nel database,0
JBL - Steel - Black Mat,852873,Codice non trovato nel database,0
JBL - Grid - Black,852875,Codice non trovato nel database,0
2dsblk,852879,Codice non trovato nel database,0
matMaintenanceZone,852880,Codice non trovato nel database,0
Materiale per il rendering 127-255-127 COLORATO PRISMA,852891,Codice non trovato nel database,0
Coupe,852918,Codice non trovato nel database,0
EV001108 - polyoléfine,852919,Codice non trovato nel database,0
Acciaio,852928,Codice non trovato nel database,0
Materiale per il rendering 191-127-255,852936,Codice non trovato nel database,0
Render Material 255-255-0,852955,Codice non trovato nel database,0
Render Material 0-255-255,852956,Codice non trovato nel database,0
Render Material 255-255-255,852957,Codice non trovato nel database,0
Scame - Termoplastico - RAL 7004,852960,Codice non trovato nel database,0
Scame - Termoplastico - Bianco,852968,Codice non trovato nel database,0
Scame - Termoplastico - Blu,852969,Codice non trovato nel database,0
Scame - Termoplastico - Giallo,852970,Codice non trovato nel database,0
Scame - Termoplastico - Grigio,852971,Codice non trovato nel database,0
Scame - Termoplastico - Rosso,852972,Codice non trovato nel database,0
Scame - Termoplastico - Verde,852973,Codice non trovato nel database,0
Scame - Termoplastico - Viola,852974,Codice non trovato nel database,0
Scame - Termoplastico - Nero,852977,Codice non trovato nel database,0
Scame - Termoplastico - Trasparente,852980,Codice non trovato nel database,0
Materiale per il rendering 192-192-192,852984,Codice non trovato nel database,0
Aluminum 3003-H14,852987,Codice non trovato nel database,0
Materiale per il rendering 255-63-0,853003,Codice non trovato nel database,0
Materiale per il rendering 255-191-127,853004,Codice non trovato nel database,0
Plastic,853008,Codice non trovato nel database,0
"PVC, Flexible",853013,Codice non trovato nel database,0
Polycarbonate 94V-2,853017,Codice non trovato nel database,0
"Plastic, Transparent",853019,Codice non trovato nel database,0
Materiale per il rendering 38-0-0,853020,Codice non trovato nel database,0
Materiale per il rendering 0-57-76,853021,Codice non trovato nel database,0
Materiale per il rendering 0-255-0,853022,Codice non trovato nel database,0
Materiale per il rendering 165-165-82,853023,Codice non trovato nel database,0
Materiale per il rendering 127-191-255,853024,Codice non trovato nel database,0
Materiale per il rendering 127-0-95,853025,Codice non trovato nel database,0
Materiale per il rendering 204-204-204,853026,Codice non trovato nel database,0
Materiale per il rendering 153-153-153,853027,Codice non trovato nel database,0
Materiale per il rendering 31-127-0,853028,Codice non trovato nel database,0
DIS_Light_Source,853030,Numero campi errato,0
DIS_Light_Source,853030,Codice non trovato nel database,0
DIS_Grey,853032,Numero campi errato,0
DIS_Grey,853032,Codice non trovato nel database,0
Materiale per il rendering 127-63-0,853036,Codice non trovato nel database,0
Materiale per il rendering 38-9-0,853037,Codice non trovato nel database,0
DIS_White,853041,Numero campi errato,0
DIS_White,853041,Codice non trovato nel database,0
"Vetro, Vetratura trasparente",853049,Codice non trovato nel database,0
Plastica PPS,853050,Codice non trovato nel database,0
