Nome Locale,ID Elemento,Verifica,Stato
L.T.,974986,Locale Posizionato,1
WC staff,974994,Locale Posizionato,1
WC staff,974996,Locale Posizionato,1
Uffici,975203,Locale Posizionato,1
L.T.,975232,Locale Posizionato,1
L.T.,975254,Locale Posizionato,1
WC staff,975260,Locale Posizionato,1
WC staff,975262,Locale Posizionato,1
WC D,975264,Locale Posizionato,1
WC dis,975266,Locale Posizionato,1
WC dis,975268,Locale Posizionato,1
Deposito,975270,Locale Posizionato,1
Cleaning,975272,Locale Posizionato,1
WC Family,975274,Locale Posizionato,1
Area a disp.,975479,Locale Posizionato,1
Area sedute gate,976433,Locale Posizionato,1
Area sedute gate,976435,Locale Posizionato,1
Circolazione,976451,Locale Posizionato,1
WC U,977617,Locale Posizionato,1
Circolazione,978745,Locale Posizionato,1
Circolazione,978749,Locale Posizionato,1
Area preimbarco,1145634,Locale Posizionato,1
Area desk,1145691,Locale Posizionato,1
Accodamento,1145743,Locale Posizionato,1
Servizi al passeggero,1149657,Locale Posizionato,1
Area preimbarco,1149999,Locale Posizionato,1
Accodamento,1150099,Locale Posizionato,1
Area sedute gate,1150209,Locale Posizionato,1
Area preimbarco,1150258,Locale Posizionato,1
Area desk,1150262,Locale Posizionato,1
Accodamento,1150264,Locale Posizionato,1
Area preimbarco,1150266,Locale Posizionato,1
Area desk,1150268,Locale Posizionato,1
Accodamento,1150270,Locale Posizionato,1
Area sedute gate,1150368,Locale Posizionato,1
Area a disp.,1150410,Locale Posizionato,1
Deposito,1151539,Locale Posizionato,1
WC Family,1151541,Locale Posizionato,1
Cleaning,1151543,Locale Posizionato,1
WC D,1151545,Locale Posizionato,1
WC dis,1151547,Locale Posizionato,1
L.T.,1151614,Locale Posizionato,1
WC D,1151715,Locale Posizionato,1
WC dis,1151717,Locale Posizionato,1
WC Family,1151719,Locale Posizionato,1
Cleaning,1151721,Locale Posizionato,1
Cleaning,1151723,Locale Posizionato,1
L.T.,1151725,Locale Posizionato,1
L.T.,1151727,Locale Posizionato,1
Area preimbarco,1154329,Locale Posizionato,1
Circolazione,1154331,Locale Posizionato,1
Area sedute gate,1154467,Locale Posizionato,1
Area preimbarco,1154469,Locale Posizionato,1
Circolazione,1154471,Locale Posizionato,1
Circolazione,1154562,Locale Posizionato,1
Area sedute gate,1154564,Locale Posizionato,1
Accodamento,1154566,Locale Posizionato,1
Area desk,1154568,Locale Posizionato,1
Area preimbarco,1154570,Locale Posizionato,1
Area sedute gate,1154574,Locale Posizionato,1
Accodamento,1154576,Locale Posizionato,1
Area desk,1154578,Locale Posizionato,1
Area preimbarco,1154580,Locale Posizionato,1
Accodamento,1155204,Locale Posizionato,1
Circolazione,1155208,Locale Posizionato,1
Retail,1155288,Locale Posizionato,1
F&B,1155659,Locale Posizionato,1
L.T.,1190646,Locale Posizionato,1
L.T.,1241669,Locale Posizionato,1
L.T.,1241671,Locale Posizionato,1
Servizi al passeggero,1333844,Locale non posizionato,0
WC dis,1333847,Locale Posizionato,1
WC U,1374615,Locale Posizionato,1
WC U,1374677,Locale Posizionato,1
Area desk,1885257,Locale Posizionato,1
Cavedio,1925746,Locale Posizionato,1
Cavedio,1925753,Locale Posizionato,1
WC dis,1936935,Locale Posizionato,1
Area preimbarco,1937273,Locale Posizionato,1
Area preimbarco,2543231,Locale non posizionato,0
Accodamento,2592760,Locale Posizionato,1
Area preimbarco,2592764,Locale Posizionato,1
Area desk,2592766,Locale Posizionato,1
Area sedute gate,2592838,Locale Posizionato,1
Circolazione,2592840,Locale Posizionato,1
Area desk,2592971,Locale Posizionato,1
Area preimbarco,2592994,Locale Posizionato,1
Circolazione,2592998,Locale Posizionato,1
Circolazione,2596389,Locale Posizionato,1
Servizi al passeggero,2646030,Locale non posizionato,0
Servizi al passeggero,2646031,Locale Posizionato,1
Circolazione,2656678,Locale Posizionato,1
Servizi al passeggero,2656876,Locale Posizionato,1
