Nome File,Verifica Nomenclatura,Stato
9nnn_J.002_028_PE_FA_M3_01_00.ifc,Nomenclatura corretta.,1
9nnn_J.002_028_PE_FA_M3_01_00.rvt,Nomenclatura corretta.,1
