Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_FA_M3_01_00.ifc,Verifica Corretta,136.728 MB,1
9nnn_J.002_028_PE_FA_M3_01_00.rvt,Verifica Corretta,151.789 MB,1
