Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_IM_M3_02_00.rvt,Peso Eccessivo,437.895 MB,0
9nnn_J.002_028_PE_IM_M3_02_00_ANTINCENDIO.ifc,Verifica Corretta,174.133 MB,1
9nnn_J.002_028_PE_IM_M3_02_00_IDRICO.ifc,Peso Eccessivo,325.524 MB,0
9nnn_J.002_028_PE_IM_M3_02_00_SCARICHI.ifc,Verifica Corretta,63.598 MB,1
