Categoria,Nome Elemento,ID Elemento,Livello Base,Livello Superiore,Offset Base,Offset Superiore,Verifica,Stato
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1486661,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1503321,AR_LIV_PE_P01_+5.20m,-,-,6.5899999999999999,Oggetto sopra l'interpiano.,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1506633,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1506669,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1506683,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1508252,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_T,1508254,AR_LIV_PE_P01_+5.20m,-,-,6.5899999999999999,Oggetto sopra l'interpiano.,0
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1508263,AR_LIV_PE_P01_+5.20m,-,-,6.5899999999999999,Oggetto sopra l'interpiano.,0
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1508264,AR_LIV_PE_P01_+5.20m,-,-,6.5899999999999999,Oggetto sopra l'interpiano.,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1508277,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1508291,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1508300,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1508362,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_T,1508364,AR_LIV_PE_P01_+5.20m,-,-,6.54,Oggetto sopra l'interpiano.,0
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1508373,AR_LIV_PE_P01_+5.20m,-,-,6.54,Oggetto sopra l'interpiano.,0
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1508374,AR_LIV_PE_P01_+5.20m,-,-,6.54,Oggetto sopra l'interpiano.,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1508387,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1508401,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1508410,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1508472,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_T,1508474,AR_LIV_PE_P01_+5.20m,-,-,6.54,Oggetto sopra l'interpiano.,0
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1508483,AR_LIV_PE_P01_+5.20m,-,-,6.54,Oggetto sopra l'interpiano.,0
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1508484,AR_LIV_PE_P01_+5.20m,-,-,6.54,Oggetto sopra l'interpiano.,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1508497,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1508511,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1508520,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1509953,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1509962,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1513122,AR_LIV_PE_P01_+5.20m,-,-,4.4900000000000002,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1515867,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1515874,AR_LIV_PE_P01_+5.20m,-,-,6.6200000000000001,Oggetto sopra l'interpiano.,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1515887,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1515896,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare a ugello,1515905,AR_LIV_PE_P02_+10.40m,-,-,1.3400000000000001,Oggetto conforme.,1
Accessori per condotti,IM_DIS_ACC_VAV Silenziate,1517869,AR_LIV_PE_P01_+5.20m,-,-,6.54,Oggetto sopra l'interpiano.,0
Accessori per condotti,IM_DIS_ACC_VAV Silenziate,1518284,AR_LIV_PE_P01_+5.20m,-,-,6.5899999999999999,Oggetto sopra l'interpiano.,0
Accessori per condotti,IM_DIS_ACC_VAV Silenziate,1518334,AR_LIV_PE_P01_+5.20m,-,-,6.5899999999999999,Oggetto sopra l'interpiano.,0
Accessori per condotti,IM_DIS_ACC_VAV Silenziate,1518353,AR_LIV_PE_P01_+5.20m,-,-,6.54,Oggetto sopra l'interpiano.,0
Accessori per condotti,IM_DIS_ACC_VAV Silenziate,1518543,AR_LIV_PE_P01_+5.20m,-,-,6.6200000000000001,Oggetto sopra l'interpiano.,0
Accessori per condotti,IM_DIS_ACC_VAV Silenziate,1530144,AR_LIV_PE_P01_+5.20m,-,-,4.1799999999999997,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Griglie ripresa aria con plenum,1558727,AR_LIV_PE_P01_+5.20m,-,-,3.46,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Griglie ripresa aria con plenum,1558748,AR_LIV_PE_P01_+5.20m,-,-,3.46,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1558767,AR_LIV_PE_P01_+5.20m,-,-,4.1799999999999997,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,1573393,AR_LIV_PE_P01_+5.20m,-,-,4.0300000000000002,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,1573399,AR_LIV_PE_P01_+5.20m,-,-,4.0300000000000002,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,1573404,AR_LIV_PE_P01_+5.20m,-,-,4.0300000000000002,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,1574021,AR_LIV_PE_P01_+5.20m,-,-,4.0300000000000002,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,1574027,AR_LIV_PE_P01_+5.20m,-,-,4.0300000000000002,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,1574241,AR_LIV_PE_P01_+5.20m,-,-,4.0300000000000002,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,1574246,AR_LIV_PE_P01_+5.20m,-,-,4.0300000000000002,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,1574251,AR_LIV_PE_P01_+5.20m,-,-,4.0300000000000002,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Griglie ripresa aria con plenum,1574361,AR_LIV_PE_P01_+5.20m,-,-,3.46,Oggetto conforme.,1
Accessori per condotti,IM_DIS_ACC_VAV Silenziate,1574362,AR_LIV_PE_P01_+5.20m,-,-,4.1799999999999997,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Griglie ripresa aria con plenum,1574364,AR_LIV_PE_P01_+5.20m,-,-,3.46,Oggetto conforme.,1
