Nome File,Versione File,Stato
9nnn_J.002_028_PE_IM_M3_01_00.rvt,2024,1
9nnn_J.002_028_PE_IM_M3_01_00_AER.ifc,IFC4X3,1
9nnn_J.002_028_PE_IM_M3_01_00_ATT.ifc,IFC4X3,1
9nnn_J.002_028_PE_IM_M3_01_00_FTV.ifc,IFC4X3,1
