Quantità,Modello,Type Name,ID,Livello,Verifica,Stato
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-600x400,2259429,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-800x400,2261270,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-600x300,2270510,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-600x300,2270822,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-800x400,2314840,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,2345477,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,2429182,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-400x400,2450468,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-400x400,2450817,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-400x400,2451263,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-300x400,2451369,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-400x400,2451934,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-400x400,2452518,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-400x400,2452650,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-400x400,2452992,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-400x400,2453299,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-400x400,2453630,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-400x400,2453889,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-400x400,2454507,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-400x400,2454681,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-600x500,2454957,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,2470025,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-600x500,2517635,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-600x400,2519879,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-600x400,3059286,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-400x400,3091550,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-600x400,3099638,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-600x400,3228977,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x600,3290203,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-700x600,3290889,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-1000x400,3292426,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-700x500,3292860,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-600x500,3293810,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-800x600,3293908,,Corretta,1
