Raggruppamento,UR01,AR01,AR02,AR03,AR04,FA01,IE01,IM01,IM02,ST01,ST02,ST03,ST04,%,Stato
pGI e Allegati,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Elaborati Progettuali,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Clash Detection,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
ACDat,100%,66.67%,66.67%,66.67%,100%,100%,66.67%,100%,100%,66.67%,66.67%,66.67%,66.67%,79%,0
Collegamenti Modello Nativo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Georeferenziazione e Orientamento,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Griglie e Livelli,100%,100%,100%,97.46%,100%,100%,92.86%,92.86%,92.86%,100%,100%,100%,100%,98%,1
Integrità e Pulizia File,72.97%,94.35%,91.34%,91.55%,91.29%,90.71%,72.49%,73.1%,72.15%,92.35%,92.01%,92.45%,91.87%,86%,0
Verifica Informativa,100%,95.58%,93.77%,97.4%,94.7%,99.9%,71%,73.32%,64.67%,99.64%,95.34%,100%,70.19%,89%,0
Verifica LOIN Geometrico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Naming Convention,-,86.64%,82.68%,89.28%,-,99.74%,-,23.49%,49.44%,-,87.22%,-,90.53%,76%,0
Regole Modellazione,-,94.52%,91.28%,97.41%,100%,97.92%,39.41%,80.03%,96.35%,95.94%,100%,97.38%,95.36%,90%,1
Specifiche Impianti,-,-,-,-,-,-,25%,-,25%,-,-,-,-,25%,0
Unità di misura,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
