Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_AR_M3_02_00.ifc,Verifica Corretta,124.484 MB,1
9nnn_J.002_028_PE_AR_M3_02_00.rvt,Peso Eccessivo,253.336 MB,0
