Quantità,Nome della famiglia e del Tipo,IFC Element,ID,Valori Parametri,Verifica,Stato
1,ST_TRA_ELL_Acc:ST_TRA_ELL_Acc_L60x60x6,IfcBeam,1047950,"17,0,0918,0,00",Da Compilare DIM_GEN_I_Lunghezza [mm];DIM_GEN_I_Peso;DIM_GEN_I_SuperficieEsterna [m²],0
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,883977,"205 / 2,952,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,884327,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,884436,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,884438,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,884478,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,884480,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,907689,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,907695,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,907701,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,907707,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,907745,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,907751,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,907763,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1102736,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1102738,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1102740,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1102742,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1103202,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1103204,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1103206,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104694,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104696,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104698,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104700,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104708,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104710,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104712,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104714,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104738,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104740,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104742,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104744,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104752,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104754,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104756,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104758,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104784,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104786,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104788,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104790,"211 / 3,0384,0,10",Corretta,1
1,ST_TRA_SCA_Acc:ST_TRA_SCA_Acc_SHS120x4,IfcBeam,1104798,"211 / 3,0384,0,10",Corretta,1
