Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_ST_M3_01_00.ifc,Verifica Corretta,15.365 MB,1
9nnn_J.002_028_PE_ST_M3_01_00.rvt,Verifica Corretta,14.676 MB,1
