Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_AR_M3_04_00.ifc,Verifica Corretta,31.049 MB,1
9nnn_J.002_028_PE_AR_M3_04_00.rvt,Verifica Corretta,66.348 MB,1
