ID,Raggruppamento,Descrizione,Formato,Percentuale
17,Griglie e livelli,Il nome di griglie e livelli rispetta la struttura e i valori previsti nella naming convention allegata al pGI.,ifc,100%
18,Griglie e livelli,Assenza di livelli dedicati alla disciplina impiantistica se non precedentemente concordati con AdB.,ifc,100%
